provnum,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating
25035,3,3,1,5,5
25036,3,2,2,5,5
25037,1,1,1,5,5
35003,3,2,4,4,4
35004,2,2,4,3,1
35014,3,2,5,2,3
35016,4,3,4,4,4
35059,4,3,4,5,5
35062,2,2,1,4,3
35064,1,1,1,4,4
35068,2,1,5,1,2
35070,3,2,3,4,4
35071,5,4,5,4,4
35072,5,5,5,5,5
35073,5,4,5,3,3
35074,5,5,4,5,5
35076,3,2,3,4,4
35083,5,3,5,4,5
35084,4,4,4,4,4
35085,2,1,5,4,3
35086,1,1,2,3,4
35087,5,5,4,4,3
35088,4,3,4,4,5
35090,5,4,5,4,4
35091,5,3,5,4,4
35092,3,3,4,3,3
35093,3,2,2,4,5
35094,3,3,2,3,4
35095,2,1,5,3,4
35096,2,1,3,4,4
35097,2,2,2,2,1
35099,1,1,1,3,2
35100,3,3,4,3,3
35101,1,2,1,2,3
35103,3,2,3,5,5
35105,3,3,2,3,4
35106,2,1,5,4,5
35107,2,2,2,3,3
35110,4,4,2,3,3
35111,4,3,4,4,4
35112,5,3,5,4,4
35114,2,2,3,2,4
35116,5,4,5,4,5
35117,5,4,5,3,3
35118,2,2,2,3,5
35120,4,3,5,3,3
35121,5,4,2,5,5
35125,1,1,1,4,3
35126,4,3,5,3,4
35127,4,3,3,4,4
35128,2,1,5,2,4
35129,1,1,1,4,5
35130,1,1,4,3,3
35131,4,3,4,4,5
35132,4,3,4,5,5
35133,5,4,5,3,4
35134,2,2,4,3,3
35135,5,5,3,4,5
35136,2,1,3,5,5
35137,4,3,5,3,2
35139,4,3,5,3,4
35140,3,2,5,3,4
35141,4,3,5,3,4
35143,3,3,3,3,4
35144,3,3,2,3,4
35145,4,3,2,4,4
35146,3,2,5,3,3
35147,1,1,4,3,5
35151,5,5,5,3,3
35152,5,3,5,4,4
35154,2,2,4,3,2
35157,3,2,2,5,5
35158,4,4,3,4,5
35159,5,5,5,3,3
35160,2,1,2,4,4
35164,4,4,4,4,4
35165,5,4,5,4,3
35166,1,1,1,1,1
35169,1,2,1,1,2
35171,5,5,5,3,5
35172,2,1,4,4,5
35173,5,5,3,4,4
35174,5,5,5,4,5
35175,4,2,5,4,4
35176,5,4,5,4,4
35180,4,3,5,3,5
35183,1,1,2,3,3
35189,4,3,5,3,3
35190,3,2,2,4,4
35192,5,5,4,5,5
35193,2,2,4,3,3
35196,5,4,5,3,3
35197,4,3,5,3,3
35199,2,1,4,4,4
35201,3,2,4,4,4
35205,1,2,1,3,3
35207,5,3,5,4,4
35214,2,2,1,4,5
35216,2,1,3,4,4
35217,5,3,5,4,3
35225,4,3,2,4,4
35231,3,5,1,1,2
35232,5,5,5,4,4
35233,4,4,4,2,4
35234,4,4,2,3,3
35240,4,3,2,4,4
35241,5,3,5,4,4
35242,2,1,3,5,5
35243,3,2,5,3,3
35244,3,2,3,4,5
35245,4,4,3,3,3
35247,4,2,5,4,4
35249,2,1,5,3,3
35250,1,1,1,4,3
35251,5,4,5,5,5
35253,5,4,5,4,4
35254,4,2,5,4,4
35255,3,2,3,5,5
35256,5,5,4,4,5
35257,4,3,4,4,5
35258,5,4,4,5,5
35259,4,4,4,4,5
35260,5,4,5,4,4
35261,3,2,5,3,5
35262,4,4,4,4,3
35263,2,1,5,4,4
35264,3,2,4,4,4
35265,4,3,3,4,3
35266,5,4,5,5,5
35267,4,4,2,3,2
35268,5,5,5,5,5
35270,2,2,5,1,2
35272,5,5,5,5,5
35273,3,2,3,5,5
35274,4,3,4,5,5
35275,5,5,3,5,5
35276,1,1,4,3,2
35277,2,2,4,3,4
35279,5,5,5,3,5
35280,4,4,2,4,4
35281,5,5,4,5,5
35282,5,5,3,4,4
